Country ,Country Code,2012,2013,2014,2015,2016,2017,2018,2019
Upper middle income,UMC,1552786310,1587001437,1621501653,1655871497,1690361798,1724738545,1757683560,
Uruguay,URY,3201206,3214646,3228542,3242944,3257856,3273062,3288355,
United States,USA,254576561,256899730,259361210,261865944,264366216,266676634,268720071,
Uzbekistan,UZB,15199882,15408910,15640290,15884192,16130961,16372437,16635227,
St. Vincent and the Grenadines,VCT,53951,54478,55038,55626,56232,56873,57527,
"Venezuela, RB",VEN,25875071,26249155,26482983,26518336,26313884,25917344,25465822,
British Virgin Islands,VGB,13036,13228,13398,13580,13784,14001,14222,
Virgin Islands (U.S.),VIR,102694,102717,102720,102701,102651,102551,102399,
Vietnam,VNM,28514086,29430443,30371288,31333193,32314724,33310316,34317154,
Vanuatu,VUT,61529,63545,65605,67677,69755,71843,73972,
World,WLD,3723198096,3799599718,3877279235,3956106549,4035994010,4116116640,4195547850,
Samoa,WSM,37107,36970,36808,36601,36341,36046,35780,
Kosovo,XKX,,,,,,,,
"Yemen, Rep.",YEM,8065870,8439118,8822594,9215171,9615916,10024989,10442489,
South Africa,ZAF,33429132,34249974,35079618,35905874,36724030,37534797,38339668,
Zambia,ZMB,5837255,6099716,6372726,6654564,6944345,7243041,7551686,
Zimbabwe,ZWE,4306222,4359425,4416215,4473868,4531255,4589499,4650663,
