,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
60,9,2015,112.364,0.913,1220934,51,0.728,967,4.721743601,-0.091019398,14.0151267,3.931825633,-0.317454231,6.874198495,,,,
61,9,2016,136.533,0.911,1270237,43,0.74,1015.8,4.916566344,-0.093212382,14.05471406,3.761200116,-0.301105093,6.923431758,,,,
62,9,2017,152.645,0.911,1332505,36,0.738,1137.4,5.028114964,-0.093212382,14.10257119,3.583518938,-0.303811454,7.036500235,,,,
63,9,2018,158.372,0.907,1401305,36,0.738,1204.5,5.064946696,-0.097612829,14.1529145,3.583518938,-0.303811454,7.093819822,,,,
64,10,2012,568.875,0.515,48311928,26,0.456,12.5,6.343660726,-0.663588378,17.69318904,3.258096538,-0.785262469,2.525728644,,,,
65,10,2013,599.403,0.522,50048763,27,0.457,14.8,6.39593416,-0.650087691,17.72850835,3.295836866,-0.783071888,2.694627181,,,,
66,10,2014,640.1,0.527,51818338,27,0.451,12.5,6.461624414,-0.64055473,17.76325466,3.295836866,-0.796287939,2.525728644,,,,
67,10,2015,655.465,0.534,53608403,25,0.479,64.3,6.485344907,-0.62735944,17.79721639,3.218875825,-0.736054682,4.163559631,,,,
68,10,2016,678.692,0.542,55420910,26,0.496,83,6.520167416,-0.612489278,17.83046752,3.258096538,-0.701179352,4.418840608,,,,
69,10,2017,736.033,0.549,57254681,28,0.513,102.6,6.601274955,-0.599656837,17.86301996,3.33220451,-0.667479434,4.630837933,,,,
70,10,2018,871.07,0.559,59107944,26,0.513,123.17,6.769722341,-0.581605806,17.89487589,3.258096538,-0.667479434,4.813565515,,,,
71,11,2012,118.924,0.776,7164339,31,0.833,612.99,4.778484634,-0.253602759,15.78462636,3.433987204,-0.182721637,6.418348623,,,,
72,11,2013,132.109,0.776,7212995,29,0.839,624.18,4.883627339,-0.253602759,15.79139482,3.36729583,-0.175544573,6.436438788,,,,
73,11,2014,136.121,0.779,7266287,29,0.838,537.49,4.913544196,-0.249744233,15.79875599,3.36729583,-0.176737179,6.286910155,,,,
74,11,2015,134.065,0.771,7324181,32,0.837,438.56,4.898324757,-0.260066905,15.8066919,3.465735903,-0.177931208,6.083496633,,,,
75,11,2016,134.282,0.767,7378986,40,0.839,1093.54,4.899942066,-0.265268478,15.81414679,3.688879454,-0.175544573,6.997175419,,,,
76,11,2017,142.06,0.772,7421374,44,0.838,1106.02,4.956249504,-0.258770729,15.81987477,3.784189634,-0.176737179,7.008523265,,,,
77,11,2018,156.433,0.776,7453556,44,0.837,1150.16,5.052627803,-0.253602759,15.82420179,3.784189634,-0.177931208,7.047656342,,,,
78,12,2012,1420.931,0.913,10856360,75,0.874,756,7.25906757,-0.091019398,16.20026164,4.317488114,-0.134674903,6.628041376,,,,
