Country,2012,2013,2014,2015,2016,2017,2018
Lithuania,190,201.2,206.3,207.1,229.6,252.3,282.5
Luxembourg,95,94.5,103.8,109,105.4,104.6,101.8
"Macao SAR, China",1357.7,1426.8,1456.6,1430.8,1570.36,1725.5,1849.3
Madagascar,25.6,19.6,22.2,24.4,29.3,25.5,29.1
Malawi,77,79.5,81.9,80.5,84.9,83.7,87.1
Malaysia,2503.3,2571.5,2743.7,2572.1,2675.7,2594.8,2583.2
Maldives,95.8,112.5,120.5,123.4,128.6,139,148.4
Mali,3.2,5.7,5.3,1.5,4.15,1.1,1.4
Malta,144.3,158.2,169,178.3,196.6,227.4,259.9
Marshall Islands,0.46,#VALUE!,0.49,0.63,0.54,0.6,0.68
Mauritania,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mauritius,96.5,99.3,103.8,115.1,127.5,134.2,139.9
Mexico,2340.3,2415.1,2934.6,3209.3,3507.9,3929.1,4131.3
"Micronesia, Fed. Sts.",3.83,4.21,3.54,3.12,2.96,#VALUE!,1.92
Moldova,8.9,9.56,9.39,9.44,12.1,14.5,16
Monaco,29.2,32.8,32.9,33.1,33.6,35.5,34.7
Mongolia,47.6,41.8,39.3,38.6,40.4,46.9,52.9
Montenegro,126.4,132.4,135,156,166.2,187.7,207.7
Morocco,937.5,1004.6,1028.3,1017.7,1033.2,1134.9,1228.9
Mozambique,211.3,188.6,166.1,155.2,163.9,144.7,274.3
Myanmar,105.9,204.4,308.1,468.1,290.7,344.3,355.1
Namibia,107.9,117.6,132,138.8,146.9,149.9,152.77
Nauru,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nepal,80.3,79.8,79,53.9,75.3,94,117.3
Netherlands,1168,1278.3,1392.5,1500.7,1582.8,1792.4,1878
New Caledonia,11.2,10.8,10.7,11.4,11.6,12.1,12
New Zealand,247.3,262.9,277.2,303.9,337,355.5,368.6
Nicaragua,118,122.9,133,138.6,150.4,178.7,125.6
Niger,9.4,12.3,13.5,13.5,15.2,16.4,15.7
Nigeria,467.3,403.8,480.3,601.7,526.5,49.19,50.48
North Macedonia,35.1,40,42.5,48.6,51,63.1,70.7
Northern Mariana Islands,39.9,43.6,45.5,47.51,52.6,65.6,51.7
Norway,453.8,477.8,485.5,536.1,596,625.2,568.8
Oman,124.1,139.2,161.1,190.9,233.5,231.6,230.1
Pakistan,96.6,10.2,11.87,13.68,12.89,13.82,12.57
Palau,12,10.8,14,16.2,13.8,12.3,10.6
Panama,160.6,165.8,174.5,211,192.1,184.3,178.5
Papua New Guinea,16.8,17.4,18.2,18.3,17.9,13.9,14
Paraguay,57.9,61,64.9,121.5,130.8,158.4,118.1
Peru,284.6,316.4,321.5,345.6,374.4,403.2,441.9
Philippines,427.3,468.1,483.3,536.1,596.7,662.1,716.8
Poland,1484,1580,1600,1672.8,1747.1,1825.8,1962.2
Portugal,750.3,917.7,1049.7,1172.3,1335.9,1543.2,1618.6
Puerto Rico,306.9,317.2,324.6,354.2,373.6,351.3,306.8
Qatar,232.35,261.19,283.92,294.11,293.82,225.65,181.93
Romania,793.7,801.9,844.2,933.1,1022.3,1092.6,1172
Russian Federation,2817.7,3079.2,3242.1,3372.9,2457.1,2439,2455.1
Rwanda,81.5,86.4,92.6,98.7,93.2,89.7,88.27
Samoa,12.6,11.6,12.04,12.8,13.4,14.6,16.4
San Marino,13.9,7.1,7.5,5.4,6,7.8,8.4
Sao Tome and Principe,#VALUE!,#VALUE!,#VALUE!,2.56,2.89,2.89,3.34
Saudi Arabia,1633.2,1577.2,1826,1799.4,1804.4,1610.9,1533.4
Senegal,96.2,106.3,96.3,100.66,121,136.5,148.9
Serbia,81,92.2,102.9,113.2,128.1,149.7,171.1
Seychelles,20.8,23,23.3,27.6,30.3,35,36.2
Sierra Leone,6,8.1,4.4,2.4,5.5,5.1,5.7
Singapore,1109.8,1189.9,1186.4,1205.1,1291.3,1390.3,1467.3
Sint Maarten (Dutch part),45.7,46.7,50,50.5,52.8,40.2,17.8
Slovak Republic,152.8,167,147.5,172.1,202.7,216.2,225.6
Slovenia,237.7,250.2,267.5,302.2,339.7,399.1,442.5
Solomon Islands,2.39,2.44,2.01,2.16,2.32,2.57,2.79
Somalia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
South Africa,918.8,953.7,954.9,890.4,1004.4,1028.5,1047.2
South Sudan,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Spain,5746.4,6067.5,6493.9,6817.5,7531.5,8186.9,8277.3
Sri Lanka,100.6,127.5,152.7,179.8,205.1,211.64,233.4
St. Kitts and Nevis,10.4,10.7,11.3,11.8,11.6,11.5,12.5
St. Lucia,30.7,31.9,33.8,34.5,34.8,38.6,39.5
St. Martin (French part),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
St. Vincent and the Grenadines,7.4,7.2,7.1,7.5,7.9,7.6,8
Sudan,57.5,59.1,68.4,74.1,80,81.3,83.6
Suriname,24,24.9,25.2,22.8,25.6,27.8,29.95
Sweden,514.6,522.9,566,648.2,678.2,705.4,744
Switzerland,856.6,896.7,915.8,930.5,920.5,988.9,1036.2
Syrian Arab Republic,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tajikistan,24.4,20.8,21.3,41.4,34.4,43.1,103.5
Tanzania,104.3,106.3,111.3,110.4,123.3,127.5,137.8
Thailand,2235.4,2654.7,2481,2992.3,3253,3559.2,3817.8
Timor-Leste,5.8,7.9,6,6.2,6.6,7.4,7.5
Togo,23.5,32.7,28.2,27.3,33.8,51.4,57.3
Tonga,4.74,4.82,5.04,5.38,5.91,6.25,5.4
Trinidad and Tobago,45.5,43.4,41.2,44,40.9,39.5,37.5
Tunisia,699.9,735.2,716.3,535.9,572.4,705.2,829.9
Turkey,3569.8,3779.5,3981.1,3947.8,3028.9,3760.1,4576.8
Turkmenistan,18.2,19.35,20.14,19.85,20.63,21.56,22.13
Turks and Caicos Islands,29.17,29.06,35.8,38.6,44.9,41.64,44.1
Tuvalu,0.11,0.13,0.14,0.24,0.25,0.25,0.27
Uganda,119.7,120.6,126.6,130.3,132.3,140.2,147.05
Ukraine,2301.3,2467.1,1271.2,1242.8,1333.3,1423,1410.4
United Arab Emirates,1435.65,1524.4,1623.2,1747.2,1896.7,2039.4,2128.6
United Kingdom,2928.2,3106.3,3261.3,3443.6,3581.4,3765.1,3631.6
United States,6696.69,7164.291,7537.935,7777.352,7640.748,7718.674,7974.592
Uruguay,269.5,268.3,268.2,277.3,303.7,367.4,346.9
Uzbekistan,189.5,196.9,186.2,191.8,202.7,269,534.6
Vanuatu,10.82,11,10.9,9,9.51,10.9,11.6
"Venezuela, RB",98.8,98.6,85.7,78.9,60.1,42.7,#VALUE!
Vietnam,684.8,757.2,787.4,794.4,1001.3,1292.2,1549.8
Virgin Islands (U.S.),61.9,59,61.5,64.2,66.7,53.5,38.1
West Bank and Gaza,49,54.5,55.6,43.2,40,50.3,60.6
"Yemen, Rep.",87.4,99,101.75,36.67,#VALUE!,#VALUE!,#VALUE!
Zambia,85.9,91.5,94.7,93.2,95.6,108.3,107.2
Zimbabwe,179.4,183.3,188,205.7,216.8,242.3,258
Arab World,8484.45883,8511.414113,9087.667414,8816.923328,8772.17475,9418.117587,10146.36953
Caribbean small states,602.9,600.74,624.05,645.1,664.2,687,735.1483617
Central Europe and the Baltics,6788.4,7097.2,7482.8,8066.3,8697.5,9347.4,10010.9
Early-demographic dividend,19028.60458,19841.08439,22252.47167,22747.89507,22136.42606,24644.28702,27558.73695
East Asia & Pacific,22148.94813,23615.61474,24907.05962,26341.75185,28376.84994,30052.23315,32026.84467
East Asia & Pacific (excluding high income),13463.13282,14142.56601,14425.56781,15289.27792,16111.66223,17224.90126,18324.14302
East Asia & Pacific (IDA & IBRD countries),13304.90861,13974.84522,14257.43645,15112.70104,15922.44538,17020.30536,18104.11265
Euro area,30801,32275.5,33777.7,35322.2,36725.2,39708.6,41395.92
Europe & Central Asia,54118.20508,56924.93157,58299.49262,60865.63967,62159.853,67513.0479,71259.24797
Europe & Central Asia (excluding high income),12988.25132,13844.01928,13019.47466,13172.50875,12394.45833,13843.22573,15525.25768
Europe & Central Asia (IDA & IBRD countries),15527.01459,16537.66826,15803.37131,16137.75391,15550.83231,17258.31446,19182.92896
European Union,40856.8,42774.5,44992.9,47342.8,49496,53382.2,55588.72
Fragile and conflict affected situations,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Heavily indebted poor countries (HIPC),1838.437205,1915.543294,1939.286092,2112.490299,2240.669799,2409.751663,#VALUE!
High income,63885.68864,67260.75107,71407.48973,74993.00663,78682.48121,83436.27617,86665.09982
IBRD only,40404.06774,42126.49187,43070.3563,44232.94633,45154.12878,49235.95941,53174.09747
IDA & IBRD total,45550.08325,47562.50422,48865.48179,50580.72119,51481.34408,56179.7591,61030.4931
IDA blend,1453.9,1384.552408,1436.482764,1593.195039,1580.40526,#VALUE!,#VALUE!
IDA only,3429.049846,3827.32558,4190.929971,4665.425006,#VALUE!,#VALUE!,#VALUE!
IDA total,4859.781501,5151.079991,5549.025843,6170.47964,6113.010556,#VALUE!,#VALUE!
Late-demographic dividend,25861.04418,27117.91973,27764.53594,28978.17795,29856.50959,31672.42027,33335.18093
Latin America & Caribbean,7916.969821,8123.910272,9016.665358,9699.889862,10335.85198,11117.45145,11334.84507
Latin America & Caribbean (excluding high income),6211.2,6400.84,7230.81,7718.5,8211.63,8925,9308.312741
Latin America & the Caribbean (IDA & IBRD countries),6795,6987.04,7820.21,8384.8,8953.03,9738,10012.21153
Least developed countries: UN classification,2328.923196,2628.294068,2907.89889,3153.745305,3078.223907,3309.002868,3719.381689
Low & middle income,42603.51563,44469.55141,45683.31981,47122.88327,47752.16841,52143.7891,56903.84312
Low income,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lower middle income,10759.18251,11272.52402,11142.2506,11575.69993,11721.9501,13510.98007,15281.61758
Middle East & North Africa,8909.131765,9060.965366,9628.187813,9383.021376,9332.813216,10045.71403,11056.36092
Middle East & North Africa (excluding high income),4852.054314,4815.405463,4866.569441,4446.44218,4043.51946,4773.556354,5771.215875
Middle East & North Africa (IDA & IBRD countries),4803.150112,4760.09479,4810.05552,4403.787817,4003.877435,4723.083616,5710.448146
Middle income,40311.82329,42092.4393,43253.43654,44693.96881,45249.8982,49437.67465,53788.46756
North America,8354.29,8793.791,9214.035,9596.452,9662.248,9833.974,10116.192
Not classified,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OECD members,57044.49,60028.221,63841.535,67387.752,69768.848,75028.174,78738.092
Other small states,2943.378182,3183.347403,3537.396568,3541.101798,3833.957294,4115.264444,4278.152097
Pacific island small states,114.0557636,112.4520436,118.4836448,125.976761,129.0302561,136.0729434,139.2601449
Post-demographic dividend,57590.68,60690.271,62756.725,65722.812,69658.048,74266.094,77336.572
Pre-demographic dividend,2090.121841,2031.213887,2091.686106,2356.000921,2385.151156,#VALUE!,#VALUE!
Small states,3644.141756,3874.167373,4251.050127,4285.495711,4594.97077,4901.483327,5116.525871
South Asia,1072.50734,1168.276925,1891.533311,1977.333898,2206.620846,2382.523251,2670.105684
South Asia (IDA & IBRD),1072.50734,1168.276925,1891.533311,1977.333898,2206.620846,2382.523251,2670.105684
Sub-Saharan Africa,3917.228139,3966.847216,4159.250551,4349.433887,4567.264943,4762.953626,#VALUE!
Sub-Saharan Africa (excluding high income),3895.193654,3942.466665,4134.557969,4320.159773,4535.087288,4724.96914,#VALUE!
Sub-Saharan Africa (IDA & IBRD countries),3917.228139,3966.847216,4159.250551,4349.433887,4567.264943,4762.953626,#VALUE!
Upper middle income,29606.639,30876.37947,32169.30855,33178.31391,33588.75677,36030.50949,38669.71908
World,107018.3029,112292.0655,117707.9693,122787.3879,127188.1627,136321.6205,144195.3149
